تحصیلات;فرصت‌های آموزشی مختلف و همینطور مشاوره برای سنین مختلف از جمله آموزش رسوم و یادگیری زبان و غیره ;مراقبت از کودکان ;ثبت نام بچه ها در مهد کودک،  پیش دبستانی، مشاوره در انتخاب مدرسه و پیدا کردن فضا.;;
;;;;Trauma Therapy and Psychotherapy;Find advice on what to do if you have experienced trauma and where to find help and support.
;;;;Sexual Health;Services providing advice and medical services related specifically to sexual and reproductive health.
;;;;Free Vaccinations;Advice on vaccinations and where to get them for free.
Finances;Information about setting up a bank account, transferring money, paying fines and seeking financial advice.;Finance;Information about setting up a bank account, transferring money and special services for refugees.;;
;;Transport Services;How and where to pay fines;;
;;Financial Advice;Financial advice tailored to refugees;;
Asylum;Where to go and what to do to seek advice on the next stages of your asylum procedure or other related issue.;Relevant Authorities (Note Status Filter);Where to find the relevant authorities and organisations to guide you through your asylum procedure.;;
;;Basic Care;If you are registered as an asylumseeker and you don't have sufficient funds, you can apply for the Basic Care. ;;
;;Family Reunification;Advice on reunification with family members currently in other European or non-European countries.;;
;;Repatriation Counselling;Advice on steps to be taken to help you to return to your home country.;;
;;Refugee Counselling;Counselling on any theme or issue related to your asylum procedure or any other experience or challenge related to your status as a refugee.;;
Work;Finding out about your work status, job opportunities and advice on what to do if you are struggling to find work.;Relevant Authorities;Relevant authorities in relation to your work status.;;
;;Training Opportunities;Training and further education opportunities to improve or add to existing skills and qualifications.;;
;;Job Centres;Helping to connect you to job opportunities appropriate for your status, qualifications and interests.;;
;;Work Advice;Advice on finding work;;
Community and Leisure;Cultural activities, sports clubs, places of worship and events where you can have fun and get involved in community life.;Day Centres;Day centres and youth centres provide an opportunity to socialise with locals and other refugees.;;
;;ورزش و اوقات فراغت;Sports clubs, teams, classes and spaces providing opportunities to train, exercise and socialise.;;
;;اماکن عبادت;ساختار و فضا‌های برای عبادت فردی و گروهی و مطالعه کنند و ارائه خدمات پشتیبانی‌ از یکدیگر;کلیساها;مکان های عبادت  برای مسیحیان به عنوان یک فرصت مشاوره و دیدار با دیگر اعضای جامعه مذهبی خود
;;;;مساجد;مکان های عبادت برای مسلمانان به عنوان یک فرصت  مشاوره و دیدار با دیگر اعضای جامعه مذهبی خود
;;;;انجمن های فرهنگی و دیگر مکان های مذهبی;مناسبت‌ها و مکان‌های مرتبط با گروه‌های فرهنگی‌ و مذهبی‌
;;هنر و فرهنگ;مناسبات، سالن‌ها و کلاسهای‌ مربوط به موسیقی‌ و تئاتر و امکانات بیشتری که می‌توان لذت برد و آموخت ،همینطور فرصت‌های ویژه برای پناهندگان;هنر;نمایشگاه‌های رایگان و نمایشگاه‌های با موضوعات مرتبط با پناهندگان
;;;;فیلم;شب فیلم رایگان، نمایش‌های فیلم به زبان شما و فیلم‌های که میتواند موضوعش برای شما جالب باشد
;;;;رقص، تئاتر و کمدی;نمایش ، کلاس‌ها و فستیوال‌ها و غیره
;;;;موزیک   ;فرصت‌های برای شنیدن ، نمایش دادن و یاد گرفتن موسیقی
;;سیاست ;مناسبات، سالن‌ها و کلاسهای‌ مربوط به موسیقی‌ و تئاتر و امکانات بیشتری که می‌توان لذت برد و آموخت ،همینطور فرصت‌های ویژه برای پناهندگان;;
مسکن;پیدا کردن خانه جدید، مشاوره برای پناهندگان به دنبال مسکن و گزینه های محل اقامت موقت و اضطراری و مشاوره;دفاتر ثبت نام;از کجا و چگونه می‌توان آدرس محل اقامت خود را ثبت کرد و در صورت تغییر آدرس به کجا باید مراجعه کرد;;
;;مسکن;پیدا کردن مسکن دائمی و خدمات به طور خاص به نیازهای پناهندگان;;
;;محل اقامت موقت;در چه محل‌های می‌توان در شرایط اضطراری اسکان پیدا کرد و یا مشاوره برای پیدا کردن آنها;پناهگاه های بی خانمان ها;اماکن خواب و پیدا کردن سرپناه برای تازه واردانی که قادر به پیدا کردن هر گونه ترتیبات خواب جایگزین نشده اند
;;;;محل اقامت فوری;معمولا محل‌های اقامت کوتاه مدت تهیه شده برای ارائه امکان خواب برای کسانی‌ که در اولین ورود خود هستند و یا قرار هست مسیرشان را دنبال کنند
;;;;خانه پناهندگان;خانه ها و بلوک های آپارتمانی که در آن گروه های زیادی از پناهندگان ممکن است به صورت موقت یا بیشتر زندگی می کنند.
;;پشتیبانی‌ برای محل اقامت;مشاوره و پشتیبانی برای پناهندگان برای مسکن و یا مطالبی که برای پیدا کردن خانه کمک کند و همچنین فرصت های مسکن ویژه برای پناهندگان است.;;
ارتباطات;متصل شدن و نگه داشتن روابط با دوستان و خانواده در خارج ازکشور;اینترنت;محل‌های که اینترنت وای فای رایگان دارند و اتصال به اینترنت از خانه و کافی‌ نت ها;;
;;تلفن;مکان‌های که می‌توان سیم کارت تلفن خرید و همینطور تماس با خارج از کشور گرفت و تلفن‌های دست دوم خرید;;
;;پست;مشاوره در مورد استفاده از خدمات پستی در اتریش;;
غذا ;از کجا می‌توان محصولات حلا‌ل و سایر محصولات ویژه از جمله مواد غذائی و سایت‌های مواد غذائی را پیدا کرد;خرید (ارزان، حلال);از چه مکان‌های می‌توان محصولات غذائی ویژه و مقرون به صرف تهیه کرد;;
;;رستوران‌های ویژه;پیدا کردن رستوران‌های که غذا حلا‌ل و غذا‌های ویژه دارند و همینطور آنهایی که برنامه‌ها و تخفیفات ویژه برای پناهندگان دارند;;
;;توزیع مواد غذایی;مکان‌ها و تاریخ‌های که مواد غذائی رایگان توزیع میشوند;;
وسایل روزمره;از چه محلی می‌‌شود لباس مناسب و یا رایگان ،مبلمان ،اسباب بازی و سایر وسایل روزمره از جمله تخفیفات ویژه و برنامه‌های ویژه پیدا کرد;لباس;مغازه لباس‌های مخصوص و لباس‌های مقرون به صرفه و رایگان;;
;;مبلمان و لوازم خانگی;از چه محلی می‌توان مبلمان و وسایل خانگی با قیمت مناسب و یا رایگان پیدا کرد;;
;;برای کودکان;از چه محلی اسباب بازی های ارزان قیمت و یا رایگان  برای کودکان، لباس، مقالات ورزشی، پوشاک و لباس زمستان پیدا کنیم;;
مشاوره;از کجا و چگونه می‌توان مشاوره‌های ویژه برای پناهندگان و زنان و مردان و ال‌ جی‌ بی‌ تی‌ کیو آی‌ داشت ;"پناهندگان/
مهاجران ";پشتیبانی‌ و مشاوره مرتبط با تجربه شما در ارتباط با پناهندگی و یا مهاجرت، پوشش اداری، حقوقی، روانی و دیگر مسائل;;
;;مشاوره برای برگشت به کشور خود ;در صورتی‌ که تمایل به برگشت به کشور خودتون داشته باشید میتوانید مشاوره بگیرید;;
;;مشاوره برای قربانیان قاچاق انسان;مشاوره و پشتیبانی‌ از قربانیان قاچاق انسان و روند پناهندگی آنها ;;
;;مشاوره در ارتباط با مواد مخدر ;حمایت از پناهندگان مشکل ساز در مصرف مواد مخدر و فرصت‌های مراقبتی سلامت روانی‌ و روحی‌ آنها و جلوگیری از آسیب‌های بیشتر ;;
;;مشاوره برای زنان ;پشتیبانی عمومی برای زنان و در مورد مسائل خاص، مانند بارداری و تولد، بهداشت جنسی، خشونت علیه زنان وغیره ;;
;;مشاوره برای مردان;;;
;;مشاوره برای ال‌ جی‌ بی‌ تی‌ آی‌ کیو ;مراکز پشتیبانی برای دگرباشان جنسی ومشاوره‌های ویژه یی در نظر گرفته شده برای  لزبین، همجنسگرا، دوجنسگرا، تراجنسی و یا دوجنسی پناهنده ;;
;;مشاوره برای کارگران جنسی;مشاوره ویژه برای پناهندگان زن و مردی که به عنوان کارگر جنسی‌ مشغول بوده اند یا هستند ;;
;;مشاوره خانواده;حمایت از خانواده‌های پناهنده به صورت گسترده برای رهایی از کابوس‌هایی‌ که پشت سر گذاشته اند و پیدا کردن محل جدید برای زندگی‌ ;;
