;;Telephone;Where and how to get sim cards, calling abroad and where to buy second hand phones;;
;;Media;Newspapers, Magazines, Blogs relevant for refugees;;
;;Post;Advice on using the postal service in Austria;;
Food;Where to find halal and other special product, as well as where to find affordable groceries and food distribution sites.;Shopping (cheap, halal and kosher);Where to find speciality and halal products and where to buy affordable groceries.;;
;;Special Restaurants;Where to find restaurants which serve halal and speciality foods or which have special offers and events for refugees.;;
;;Food Distribution;Locations and dates of free of charge food distribution services.;;
Everyday Items;Where to find free or affordable clothes, furniture, toys, and other everyday items, as well as shops offering special events and deals.;Clothing;Specialist clothing shops, free and affordable clothing.;;
;;Furniture and Household Items;Where to find affordable or free furniture and household goods, from sofas to blenders.;;
;;For Children;Where to find affordable or free children's toys, clothing, sports goods, winterwear and more.;;
Counselling;"Where and how to get refugee-specific counselling and support for a range of groups and issues; for men, women, families, LGBTQI individuals and more.";Refugee/ Migration Counselling;Support and advice related to your experience and status as a refugee/ migrant, covering administrative, legal, psychological and other issues.;;
;;Repatriation Counselling;Advice on steps to be taken if you want to return to your home country.;;
;;Counselling for Victims of Human Trafficking;Legal, and other advice and support tailored specifically for victims of human trafficking and their asylum procedure.;;
;;Drug Counselling;Support for refugees who are problematic drug users, inlcuding physical and mental health care opportunities and harm reduction initiatives.;;
;;Counselling for Women;Includes general support for women and on specific issues, such as pregnancy and birth, sexual health, violence against women and more.;;
;;Counselling for Men;;;
;;Counselling for LGBTQI;LGBTI support centres and other opportunities for seeking advice specifically tailored to lesbian, gay, bisexual, transgender or intersex refugees.;;
;;Counselling for Sex Workers;Special counselling for female or male refugees who are or have been engaged in sex work.;;
;;Family Counselling;Support for refugee families on a range of issues from trauma to finding a new place to live.;;
